index,keywords
0,"high,resolution,speed,converter,telecommunication"
1,"analog,wireline,gb,receiver,serdes"
2,"nanowires,hybrid,semiconductor,cell,solar"
3,"gps,remote,sensing,precipitation,meteorology"
4,"class,rf,amplifier,transformer,power"
5,"display,wa,size,resolution,near"
6,"ceramic,laser,sesquioxide,transparent,characterization"
7,"amplifier,class,ultra,power,envelope"
8,"circuit,complexity,design,doherty,methodology"
9,"qd,diode,emitting,dot,quantum"
10,"approach,fault,winding,stator,prognosis"
11,"nitride,hipims,boron,carbon,growth"
12,"microgrids,dc,electronics,operation,control"
13,"mode,fiber,suppression,instability,transverse"
14,"localization,indoor,tracking,statistic,set"
15,"visual,specific,discovering,mining,pattern"
16,"imaging,optical,medium,scattering,focusing"
17,"resistive,access,memory,random,the"
18,"accelerator,iot,machine,learning,soc"
19,"medical,deep,image,learning,multistage"
20,"imaging,sensitive,polarization,optical,tomography"
21,"antenna,metamaterials,efficiency,millimeter,small"
22,"sorting,nanoparticle,manipulation,chip,optofluidics"
23,"microscopy,nanoscale,characterization,force,atomic"
24,"iii,epitaxy,mismatched,lattice,compound"
25,"the,voltage,reference,ldo,iot"
26,"pulse,mid,fiber,filled,compression"
27,"forecasting,series,time,ensemble,learning"
28,"gan,sensor,hemt,microelectronics,structure"
29,"film,thin,silicon,cell,solar"
30,"carbon,cnts,tsvs,vias,packaging"
31,"power,plant,virtual,assessment,worth"
32,"avoidance,collision,uav,communication,triggered"
33,"electrodeposition,lithography,nanofabrication,templated,ebl"
34,"nanogenerator,triboelectric,device,therapy,drug"
35,"cell,solar,perovskite,organic,the"
36,"cell,solar,perovskite,organic,the"
37,"imaging,optoacoustic,probe,handheld,algorithm"
38,"health,capacitor,monitoring,to,electronic"
39,"retrieval,attribute,shoe,prediction,image"
40,"unclonable,function,physical,user,unification"
41,"image,imaging,sensor,asynchronous,video"
42,"fiber,core,hollow,laser,coupler"
43,"quantum,optoelectronic,nanostructures,semiconductor,property"
44,"search,feature,visual,learning,application"
45,"evolution,differential,optimization,evolutionary,numerical"
46,"distributed,algorithm,allocation,scheduling,resource"
47,"fiber,supercontinuum,broadband,nonlinear,specialty"
48,"energy,storage,hybrid,control,system"
49,"photovoltaic,compatibility,electromagnetic,from,emi"
50,"on,optoelectronics,photodetector,heterostructures,multilayer"
51,"dc,power,system,shipboard,protection"
52,"quality,stability,power,more,renewable"
53,"eeg,brain,neuroscience,training,multitasking"
54,"alloy,calculation,principle,first,bimetallic"
55,"privacy,decentralized,information,detection,mining"
56,"localization,indoor,uwb,impulse,radio"
57,"computing,memory,learning,ram,nonvolatile"
58,"compact,modeling,ballistic,quasi,physic"
59,"link,vector,tree,decision,classifier"
60,"robot,human,interaction,control,unified"
61,"metaresonator,building,material,scalable,antenna"
62,"wireless,security,communication,emerging,information"
63,"fiber,optic,plasmon,biosensors,resonance"
64,"social,learning,submodular,string,bandit"
65,"thunderstorm,generated,gravity,atmospheric,wave"
66,"state,pmu,estimation,micro,distribution"
67,"power,ultra,management,low,circuit"
68,"tolerant,variation,design,case,worst"
69,"robot,collaborative,fusion,map,perception"
70,"nanomedicine,biophotonics,nanomaterials,functional,engineering"
71,"turbine,wind,converter,offshore,topology"
72,"privacy,big,technology,enhancing,cryptography"
73,"scheduling,optimal,load,power,incorporating"
74,"reliability,analysis,converter,redundancy,multilevel"
75,"stability,dc,stabilization,stage,isolated"
76,"harvesting,energy,assisted,digitally,power"
77,"low,digital,power,processor,implementation"
78,"rf,amplifier,switch,soi,resistivity"
79,"quantum,metamaterials,interference,nanostructured,super"
80,"arithmetic,approximated,vlsi,computation,guided"
81,"complex,control,network,networked,incomplete"
82,"battery,flow,redox,vanadium,operational"
83,"sharing,weight,neural,visual,recognition"
84,"capacitor,integrated,via,embedded,tsv"
85,"enhacing,alternative,nanophotonics,approach,plasmonic"
