index,label,vector
0,communications,"[-0.003736278275027871, -0.0016816226998344064, 0.0012038842542096972, 0.002546906005591154, -0.0017895749770104885, 0.003533274633809924, -0.0034948221873492002, 0.00020504857820924371, -0.0035243493039160967, -0.0002975537208840251, 0.00248580239713192, 0.003386992495507002, -0.0035343789495527744, 0.0017004820983856916, 0.0019478888716548681, -0.003523101331666112, 0.002824926981702447, -0.0031260873656719923, 0.0009611063869670033, 0.0027992103714495897, -0.00234021432697773, -0.0029359597247093916, 0.003035855246707797, 0.003065140452235937, -0.001067209173925221, 0.0024711214937269688, 0.0019332418451085687, -0.0008846079581417143, 0.0005661497707478702, 0.0024575579445809126, 0.0019324618624523282, -0.0020807122346013784, 0.0025314476806670427, -0.0014501308323815465, 0.003728301264345646, -0.0017561092972755432, -0.0015223975060507655, 0.0015199596527963877, -0.0017955397488549352, 0.000959453172981739, -0.0018493140814825892, -0.0021227614488452673, 0.00034780113492161036, -0.0034319099504500628, 0.00340854050591588, 0.0012220476055517793, -0.00222173985093832, -0.0017019729129970074, -0.0018033444648608565, 0.002957182237878442, -0.0018248552223667502, 5.607381899608299e-05, 0.0028207090217620134, 0.002321642590686679, -0.00343863177113235, -0.0019499645568430424, -0.0021594217978417873, 0.002002853201702237, 0.0016558381030336022, 0.001650733989663422, -0.0036340998485684395, 0.0013237654929980636, 0.0008285969961434603, 0.0037418233696371317, 0.0006981565966270864, -0.0038432658184319735, -0.001361748785711825, 0.0027678105980157852, -0.0019791922532022, 0.003671335056424141, -0.002164846286177635, 0.0032931019086390734, -0.0029092857148498297, 0.002705513034015894, -0.002108402317389846, 0.0035212859511375427, 0.0032591279596090317, 0.0001505521358922124, -0.0028409368824213743, 0.00343160517513752, -0.0014845472760498524, -0.0025308935437351465, -0.0018501105951145291, 0.0019327605841681361, -0.0013978510396555066, -0.0009235289762727916, -0.0018523316830396652, -0.0036561787128448486, -0.0012236109469085932, -0.00319218123331666, 0.0022835812997072935, 0.0036165209021419287, 0.0021805078722536564, 0.0008333015139214694, 0.0019249445758759975, 0.003845783183351159, 0.0021050169598311186, 0.002650275593623519, -0.00022818136494606733, 0.003581498982384801, -0.003794742049649358, 0.0006351491902023554, 0.002673148876056075, 0.0015291563468053937, 7.976532651809976e-05, 0.003379599889740348, 0.0033134017139673233, -0.0031502211932092905, -0.0010677886893972754, 0.002331977942958474, 0.0035277679562568665, -0.002972929971292615, 0.0024775038473308086, 0.0027041060384362936, 0.0018246850231662393, -0.0026284707710146904, 0.000987193314358592, 0.0036781562957912683, -0.0006841414142400026, 0.0003339636605232954, -0.002355442848056555, 0.003204130567610264, 0.0009561674087308347, 0.0013792820973321795, 0.003600828582420945, -0.0006154578295536339, 0.003265855833888054, -0.00032865730463527143]"
1,communications,"[0.002517998917028308, -0.0006440849974751472, 0.0010523877572268248, -0.0002654372656252235, -0.0038879243656992912, 0.001716345432214439, -0.0030731423757970333, -0.0030009238980710506, 0.0038688480854034424, 0.0029694580007344484, -9.427035547560081e-05, 0.0006429944769479334, 0.0027996371500194073, 0.0013506585964933038, -0.003239818150177598, 0.003402191447094083, -0.0005265293293632567, -0.0033680570777505636, 0.0010783878387883306, -0.001992814941331744, -0.0019628044683486223, 0.0032097140792757273, 0.001241966849192977, 0.0015345577849075198, 0.002977443626150489, -0.0004827021330129355, -0.003072707913815975, -0.000762717449106276, 0.002602514810860157, -9.136333392234519e-05, 4.554317274596542e-05, -0.001356908935122192, 0.002407068619504571, -0.000701318436767906, -0.00236744387075305, 2.3691862224950455e-05, -6.506743375211954e-05, 0.003639524569734931, -0.002028227550908923, -0.0024565698113292456, -0.0007369396626017988, -0.0031816468108445406, 0.00377326225861907, 0.0017508347518742085, -0.0016776385018602014, 0.0027191932313144207, 0.0016099027125164866, 0.002053593285381794, 0.0009056019480340183, -0.0008369572460651398, 0.001636039582081139, 0.0006808675825595856, 0.0029609031043946743, -0.0006389552145265043, -0.0011050824541598558, 0.00150199793279171, -0.002242464805021882, 0.0030010149348527193, 0.003848991822451353, 0.0012303408002480865, 0.002613593591377139, 0.002618158468976617, -0.0037556749302893877, -0.0017662051832303405, 0.0035169804468750954, 0.0038877164479345083, 0.0037853296380490065, 0.00332351541146636, -0.0016450033290311694, 0.003447085153311491, -0.0037056454457342625, 0.001331922598183155, -0.00015991453255992383, 0.0016877243760973215, -0.0015649162232875824, -0.002696670824661851, -0.0032015759497880936, -0.0030484171584248543, 0.0035086185671389103, 0.002844244707375765, -0.0006554329302161932, 0.0024894557427614927, 0.003308954183012247, 0.0028430672828108072, 0.0005978663102723658, 0.0019370658555999398, 2.7462237994768657e-05, -0.0032703380566090345, 0.0035384614020586014, 0.0037504667416214943, -0.001380175817757845, 0.002543481532484293, -0.0011321447091177106, 0.0018125413917005062, -0.00372766493819654, 0.00210120202973485, -0.0011625444749370217, 0.0010002936469390988, 0.0008970051421783864, -0.0019825950730592012, -0.003887283382937312, -0.0035038089845329523, 0.0007819127640686929, 0.0035368590615689754, 0.003895856672897935, 0.002932595321908593, 0.003836044343188405, -0.0025658169761300087, 0.0010011590784415603, 0.0004619570099748671, -0.0032289065420627594, 0.0036666039377450943, -0.003794935764744878, 0.00019933802832383662, 0.003016771050170064, 0.0010476234601810575, -0.003775028744712472, -0.0023082743864506483, 0.0038271257653832436, -0.0034833254758268595, -0.00199293065816164, 0.0003451314114499837, 0.0036701259668916464, -0.0014264266937971115, 0.0018820397090166807, 0.0002656788856256753, 0.0007682699942961335, -0.00014892157923895866]"
2,materials,"[-0.0008562467992305756, -0.003213365562260151, -0.002361434744670987, -0.002461707219481468, -7.620688120368868e-05, 0.0029294192790985107, -0.0005291272536851466, 0.002483053831383586, -0.001021547126583755, 0.0001887367106974125, -0.0025355680845677853, 0.0024481783621013165, 0.0021803828421980143, 0.0006915253470651805, 0.0020238955039530993, 0.0022261538542807102, -0.0002627951034810394, 0.003375781700015068, -0.002352567855268717, 0.003344361437484622, 0.0027054462116211653, -0.00184293941128999, -0.00324324076063931, -0.002390926470980048, -0.0027157242875546217, -0.002502276562154293, 0.0010111060691997409, -0.00317354965955019, -0.0035293367691338062, 0.002998710609972477, -0.0025349368806928396, 0.0023151328787207603, -6.462270539486781e-05, 0.0037251203320920467, -8.249226084444672e-05, 0.001031704479828477, 0.003071319777518511, 0.0017326748929917812, -0.002082540886476636, -0.002209756523370743, 0.00041768362279981375, -0.002287081442773342, 0.0016041878843680024, 0.0027176791336387396, -0.0003888273786287755, 0.002626481233164668, 0.0017935362411662936, -0.00014033862680662423, -0.0001461508945794776, -0.0023411614820361137, 0.0030482092406600714, -0.0003472904791124165, -0.0020552566275000572, 0.003557892283424735, 0.00019910099217668176, 0.0016482514329254627, -0.0021421066485345364, 0.0015934337861835957, 0.0010857748566195369, -0.002312288386747241, 0.00042508382466621697, -0.002936426317319274, 0.0016525558894500136, 0.0026638354174792767, -4.346787682152353e-05, -0.0032792622223496437, -0.0014158273115754128, -0.0032300741877406836, -0.0032199928537011147, -0.0021281051449477673, 0.0007958012283779681, -0.0035290413070470095, 0.0037726741284132004, 0.002598776249215007, 0.002978079253807664, 7.996861677384004e-05, 0.0013689976185560226, 0.0021928614005446434, -0.0019250847399234772, -0.0027785373385995626, -0.00014935422223061323, 0.0017817335901781917, -0.0015024143503978848, 0.0024484414607286453, 0.0010902673238888383, -0.0034924792125821114, -0.0031819625291973352, 0.0032962774857878685, -0.00013071218563709408, -0.0010758863063529134, -0.0023180751595646143, 0.000907387409824878, -0.0034758583642542362, -0.0006351103656925261, -0.0018437677063047886, 0.003279768628999591, 0.00012291339226067066, -0.0021222366485744715, -0.0013818764127790928, -0.0026122773997485638, 0.0020810228306800127, -0.0031228282023221254, 0.0021045226603746414, 0.0013863721396774054, -0.0014583677984774113, -0.003169586881995201, 9.273135947296396e-05, 0.0009726785938255489, 0.003425838425755501, 0.0021883442532271147, 0.000974500086158514, -0.003370276652276516, 0.000863787077832967, 0.0004673843504860997, 0.0021421064157038927, 0.0013986806152388453, -0.003556956769898534, -0.0005544066661968827, 0.0028402679599821568, -0.00015691515000071377, 0.0009407006436958909, -0.00389157235622406, -0.0027236957103013992, 0.0034617390483617783, -0.0011357248295098543, 0.0012465998297557235, -0.003387211821973324, 0.0010348879732191563]"
3,remote sensing,"[0.0009076407877728343, 0.003643438220024109, -0.003195958212018013, 0.00097632099641487, -0.002677933545783162, -0.0013033582363277674, -0.0018660075729712844, 0.0010333218378946185, -0.0008711984846740961, 0.002417792798951268, -0.0019535867031663656, -0.00010398425365565345, -0.0032341647893190384, 0.0012712564785033464, 0.0029743872582912445, -0.0034849101211875677, -0.0017739747418090701, -0.0011083760764449835, 0.0010349710937589407, 0.0022055970039218664, 0.0028135201428085566, -0.002950156107544899, 0.003310516709461808, 0.0012225646059960127, 0.0038176975212991238, -0.0018687511328607798, 0.002386222593486309, -0.0025998507626354694, 0.0005090513732284307, 0.0030365048442035913, -0.0008863922557793558, 0.0005130528588779271, -0.0022125672549009323, -0.0006048392970114946, 0.0024997785221785307, -0.0011691157706081867, 0.0010547557612881064, -0.0007980117807164788, 0.001283592777326703, -0.0018326182616874576, 0.0014919772511348128, -5.9981091908412054e-05, 0.0015299838269129395, -0.0013424674980342388, -0.0012047246564179659, -0.0014864932745695114, 0.002862377557903528, 0.003646325785666704, -0.0008865270647220314, 0.0022465165238827467, 0.0030135074630379677, 0.00030626231455244124, 0.0011758909095078707, -0.0038299821317195892, 0.0034535101149231195, -0.0023829909041523933, -0.0009134305873885751, 0.001813339302316308, 0.0010593471815809608, 0.0027343672700226307, -0.0010231954511255026, 0.0008374019525945187, 0.0035112714394927025, -0.0034563352819532156, 0.00017083773855119944, 0.003056994406506419, -0.0033315864857286215, -0.0023662804160267115, -0.002789780031889677, 0.0033324628602713346, -0.003102286020293832, 0.0007592293550260365, 0.001998776337131858, -0.0023406667169183493, -0.00081945228157565, 0.0009592390852048993, -0.002025796566158533, -0.00010995413322234526, 0.003681301372125745, 0.0019383227918297052, 0.0007710559293627739, -0.002097758464515209, -0.00016471042181365192, -0.0018835272639989853, 0.0030629306565970182, 0.0007710602367296815, -0.000639389909338206, 0.003246528096497059, 0.003889461513608694, -0.0037534069269895554, 0.0018946194322779775, -7.136649946914986e-05, 0.0029582008719444275, 0.0023517960216850042, -0.001510647009126842, 1.0797252798511181e-05, -0.0009389183251187205, 0.002950152847915888, -0.0013788680080324411, -0.00156025227624923, 0.0039023091085255146, -0.0019768616184592247, 0.0012499517761170864, -0.0011726346565410495, 0.001851931563578546, -0.00289191328920424, 0.00010372768883826211, 0.003078137757256627, 0.0029469276778399944, 0.0019393112743273377, -0.0009269744041375816, 0.0003558398748282343, 0.0027573597617447376, 0.0017826115945354104, -0.003254874376580119, -0.0015368589665740728, -0.003848257241770625, 0.001448900788091123, 0.0008865284034982324, -0.003259035525843501, 0.002994880545884371, -0.00356461713090539, 0.001279363757930696, -0.00360652944073081, -0.0007924200617708266, -0.0019081267528235912, 0.00047919488861225545, -0.0027927549090236425]"
4,circuit,"[0.0009186019306071103, -0.0038485864643007517, -0.0015423872973769903, 0.001449781353585422, -0.0037524413783103228, 0.00360829452984035, 0.0013004750944674015, 0.0010629722382873297, 0.0018102629110217094, 0.0016173669137060642, -0.0032998379319906235, 0.0024012697394937277, 0.0003568735846783966, 0.0024296529591083527, 0.0027082220185548067, -0.0031782081350684166, 0.0032516277860850096, 0.0008112485520541668, -0.0022311629727482796, 0.0019652319606393576, 0.0002642858889885247, 0.0026792441494762897, -0.0002148548373952508, -0.0034876747522503138, 0.0023285867646336555, -0.0008973442018032074, 0.0010967395501211286, 0.0029391262214630842, -0.0031209266744554043, -0.002642332809045911, -0.0009524449706077576, 0.0002807569981086999, -0.003052575746551156, -0.0012325794668868184, 0.0010375028941780329, 0.003768234048038721, 0.0010031742276623845, 8.09409684734419e-05, 0.0029933745972812176, 0.003175735706463456, -0.003216319717466831, 0.0013988337013870478, -0.003031965345144272, -0.001600721850991249, -0.00272917072288692, -0.003103738883510232, -0.0014510025503113866, 0.0032030425500124693, -9.156534360954538e-05, 0.0009554207790642977, -0.002051200484856963, 0.0006213838933035731, -0.0017424161778762937, -0.0017490559257566929, -0.001030745217576623, -0.001101338304579258, 6.904578185640275e-05, 0.002525089308619499, -0.00028112856671214104, -0.0017742227064445615, 0.0011680196039378643, -0.00039787034620530903, 0.0023259019944816828, 8.490333129884675e-05, 0.0032683121971786022, -1.1593101589824073e-05, -0.0013943042140454054, 0.0026871678419411182, -0.0007687016623094678, 0.002775003435090184, -0.0022660091053694487, 0.003296077251434326, -0.002631776500493288, -0.0020541425328701735, -0.0020221301820129156, -0.00044276448898017406, -0.00022142032685223967, 0.0016941088251769543, -0.0012500087032094598, -0.00374541524797678, 0.0007330617518164217, 0.0038516013883054256, 0.0033741805236786604, -0.0008288446697406471, -0.0010748194763436913, 0.0025421236641705036, -0.0016325532924383879, 0.0039019384421408176, -0.0030905897729098797, 0.001636412343941629, -0.0038685353938490152, 0.0020743105560541153, 0.0029252199456095695, -0.0010749443899840117, 0.00218084710650146, 0.000562325119972229, -0.0002730295236688107, 8.660601451992989e-06, -0.002278632717207074, -0.0037202113308012486, 0.0014354706509038806, 0.0027969887014478445, -0.0037841391749680042, 0.00011878323130076751, -0.001987091964110732, -0.002456733724102378, -0.0017433788161724806, 0.0034972853027284145, 0.0006542292539961636, 0.0013895155861973763, 0.0030406874138861895, -0.0009174253209494054, 0.001042732852511108, 0.0005668169469572604, 0.0031412839889526367, 0.0018170507391914725, -0.0003607710241340101, -0.0004788583319168538, -0.0014360302593559027, -0.0005509657203219831, -0.0016899093752726912, 0.0001458250917494297, 0.0022975225001573563, -0.0035058276262134314, -0.001813037903048098, -0.002142171608284116, 0.000859660271089524, 0.0002428245934424922]"
5,signal,"[-0.0007790480158291757, 0.0017886873101815581, -0.0031238857191056013, 0.0012856816174462438, 0.0015615071170032024, 0.0017134504159912467, 0.0016621764516457915, -0.001573176123201847, -0.0003960122703574598, -0.0028204030822962523, 0.0037586994003504515, -0.003479680046439171, 0.0004669889167416841, -2.7030535420635715e-05, -0.0035607502795755863, 0.0037710783071815968, -0.0009029700886458158, 0.0021797569934278727, -0.001800007652491331, -0.0024540896993130445, -0.0009236771147698164, 0.001747500617057085, 0.0034403610043227673, -0.00030048901680856943, 0.002754884772002697, 0.0009169753175228834, -0.003715348429977894, 0.0030399837996810675, 0.0008790129795670509, -0.0021435553207993507, -0.003746690461412072, -0.0016852146945893764, 0.0006645370158366859, 0.00017799179477151483, -0.0013887608656659722, -0.00015067734057083726, 0.0029218208510428667, 0.0009091105894185603, 0.002201049355790019, -0.002181133022531867, 0.0028191241435706615, 0.003754646284505725, 0.0031305705197155476, -0.0006565917283296585, -0.0021795714274048805, 0.0025585759431123734, -0.0006781237316317856, 0.0023781273048371077, 0.0022804050240665674, 0.0003584215010050684, -0.0015305614797398448, -0.00019428067025728524, 0.0026948906015604734, 0.002105643507093191, 0.0036124950274825096, -0.003018123097717762, -0.0015131117543205619, -0.0010080536594614387, 0.0016712368233129382, 0.002306989161297679, 0.0019522347720339894, -0.0004581258981488645, 0.0029586709570139647, 0.00015948455256875604, -0.0031194216571748257, 0.0011504091089591384, 0.0033176690340042114, -0.00015969006926752627, -0.0008437849464826286, 0.0007247053436003625, 0.0013935654424130917, 0.0026354098226875067, -0.0013728126650676131, -0.0036842552945017815, -0.0032604692969471216, 0.0025267219170928, 0.002869322197511792, 0.001240517944097519, 0.001737968297675252, -0.002892858814448118, -0.00010353568359278142, 0.002955276984721422, -0.0011162845185026526, -0.0005330470157787204, 0.00045779513311572373, -0.0024962860625237226, 0.002188305836170912, 0.0017663779435679317, -0.0014576909597963095, 5.143446469446644e-05, 0.001089562545530498, -0.0014886899152770638, -0.003768376773223281, 0.0023098180536180735, 0.002184112323448062, -0.0012053794926032424, -0.0025583847891539335, 0.002479518996551633, -0.0004872883146163076, -0.0021189646795392036, -0.00033321164664812386, -0.0012888346100226045, 0.0003849095373880118, 0.0018604304641485214, -0.003345107426866889, 0.0019605588167905807, 0.0029950866010040045, -0.0028080884367227554, 0.00275112921372056, -0.0031718716491013765, 0.0028855460695922375, 0.0024565982166677713, 0.0038078115321695805, 0.0011173017555847764, 0.0028272762428969145, -0.0029133735224604607, 0.0018799082608893514, 0.00020208675414323807, -0.002136362949386239, -0.0035303279291838408, 0.0006239822832867503, 0.002200918272137642, -6.33648014627397e-05, 0.001978855347260833, 0.0013131723972037435, -7.381253089988604e-05, 0.0005758405895903707, 0.0009256038465537131]"
6,materials,"[0.0031104348599910736, 0.0026580742560327053, 0.001068232348188758, 0.00015394088404718786, 0.0032093555200845003, 0.003097596811130643, 0.0031012489926069975, -2.276744089613203e-05, -0.003471172647550702, 0.0007374304113909602, 0.00025998565251939, 0.0006219150382094085, 0.00251953792758286, 0.0009037950658239424, 0.0037429053336381912, -0.0009897906566038728, -0.0005039535462856293, -0.0027292384766042233, -0.0007250523776747286, 0.0027678273618221283, 0.002851335098966956, -0.0009432086371816695, 0.0004932181327603757, 0.002673391718417406, -0.0026772853452712297, 0.0029892560560256243, 0.002740627620369196, -0.0016084231901913881, -0.0006065912311896682, 0.00014138277038000524, -0.0026971278712153435, 0.0034868866205215454, 0.001419848413206637, -0.0019262311980128288, -0.0030235517770051956, -0.00019098262418992817, 0.002425629645586014, -0.003423848422244191, -0.0022250693291425705, -0.0027435971423983574, -6.452132220147178e-05, 0.0037094808649271727, -0.00033120735315606, 0.0014250100357457995, -0.0018044979078695178, -0.00010476131865289062, 0.00037262338446453214, 9.417050023330376e-05, 0.0027538854628801346, -0.002778333146125078, 0.0034126448445022106, 8.138576231431216e-05, 0.0028312376234680414, -0.0005329735577106476, 0.00388858700171113, 0.00286683882586658, -0.0012369476025924087, 0.0029508548323065042, 0.002107474487274885, 0.0010179532691836357, -0.0004651647468563169, -0.0018848794279620051, -0.001512980437837541, 0.0004969729925505817, 0.002003581030294299, 0.0033713553566485643, 0.0005072499043308198, -0.00030822164262644947, -0.0025421360041946173, 2.9977998565300368e-05, 0.0008056974620558321, 0.003401596564799547, -0.0024791329633444548, 0.00254143588244915, 0.0008520573028363287, 0.0034478609450161457, 0.0024777227081358433, -0.00037425290793180466, 0.0004060112696606666, 0.003500276245176792, 0.0023678524885326624, 0.0009108746307902038, -0.0024695908650755882, 0.0034224139526486397, 0.001000329153612256, 0.0007806492503732443, -0.0029907466378062963, -0.001362281502224505, -0.00021097336139064282, 0.0016117437044158578, -0.0018843177240341902, 0.0015691915759816766, -0.0014495478244498372, -0.0014529773034155369, 0.003571735927835107, 0.0028687783051282167, -0.00023501204850617796, -0.0038292782846838236, 0.001294568763114512, -0.0020955607760697603, -0.0022456583101302385, -0.001015957212075591, -0.001674251863732934, -0.0020041735842823982, 1.1036318937840406e-05, 0.002032884629443288, -1.510004949523136e-05, 0.0038134201895445585, 0.0004973632167093456, -0.001765715074725449, 0.002489512087777257, -0.0036389175802469254, -0.0027107091154903173, 0.0028686129953712225, 0.0028417047578841448, 0.003780224360525608, -0.0019909930415451527, 0.00269149849191308, -0.00361842243000865, -0.0018205017549917102, -0.0036425511352717876, -0.0003548650711309165, -0.002686387626454234, -0.0024167457595467567, 0.002572441240772605, 0.0025035333819687366, -0.0003418648848310113, 0.0019201429095119238]"
7,circuit,"[-0.0030231003183871508, -0.0022687911987304688, -0.0030049504712224007, -0.0007165116257965565, -0.003102042945101857, -0.0004929418209940195, -0.00293845240958035, 0.0032414307352155447, -0.003364811884239316, -0.0016739096026867628, -0.0029032533057034016, -0.001013569999486208, -0.0009588438551872969, -0.001184677705168724, 0.0023476567585021257, -0.0029272811952978373, -0.0027378941886126995, -0.00307256611995399, -0.0023400327190756798, 0.0015288075665012002, 0.0038707214407622814, 0.0017055724747478962, 0.0019796595443040133, -0.0036472801584750414, -0.0034753414802253246, -0.0017515289364382625, -0.0016645335126668215, -0.0036042341962456703, -0.0019201659597456455, -0.003063573967665434, -0.0037347679026424885, -0.0008219802402891219, 0.00338735687546432, 0.0016087498515844345, 0.0038494968321174383, -0.0028781334403902292, -0.0001041383293340914, -0.00302025000564754, 0.0024586969520896673, 0.0011166082695126534, 0.0006550318794324994, -0.0038169915787875652, -0.0011530909687280655, -0.0009649177081882954, 0.0034223601687699556, 0.0011739353649318218, 0.0007550892769359052, 0.003654754487797618, -0.0010539231589064002, -0.0017292870907112956, 0.0016535226022824645, -0.0036766112316399813, -0.003800184465944767, -0.002135239075869322, 0.0005148964119143784, 0.0027596508152782917, 0.0033253435976803303, -0.0018135418649762869, -0.001383653492666781, -0.002060418948531151, -0.0015347450971603394, -0.003140033455565572, -0.0023224037140607834, -0.0028316425159573555, 0.0022314703091979027, -0.003291696310043335, 0.0015583947533741593, -0.0035127003211528063, 0.0030990648083388805, 0.00281847408041358, 0.0038455226458609104, -0.003457688959315419, -0.0014667920768260956, 0.0006578975589945912, -0.003883908735588193, 0.000209536767215468, 0.0005602582241408527, -0.0024704067036509514, 0.0017586408648639917, -0.0037452932447195053, -0.002149595646187663, 0.0032607833854854107, 0.0026399577036499977, -0.003751399926841259, -0.00023378367768600583, -0.0031892380211502314, -0.0017518913373351097, -0.0037138278130441904, 0.0007134439656510949, -0.0002499633119441569, 0.0033043907023966312, -0.0012805524747818708, -0.003827553242444992, 0.002541102236136794, 0.003568653017282486, -0.002120822435244918, 0.000572431250475347, 0.003464612178504467, 0.0034624638501554728, -0.003681866219267249, -0.0023896312341094017, 0.003229408524930477, -0.0032143478747457266, 0.0020966751035302877, -0.0019020723411813378, -0.0016236873343586922, -0.003623746568337083, 0.0015704151010140777, 0.0037558183539658785, -0.0030895499512553215, 0.003503825981169939, 0.002454551635310054, -0.0036308637354522943, 0.003763117827475071, 0.0018234873423352838, 0.0011882712133228779, 0.0034376217518001795, 0.003755332203581929, -0.0035481348168104887, -0.0029769130051136017, 0.0035361316986382008, 0.0009500145679339767, 0.002851721365004778, 0.001136585371568799, -0.0005957704270258546, 0.0013548927381634712, 0.0025582993403077126, -0.001441840548068285]"
8,circuit,"[-0.00034355264506302774, 0.003442447166889906, -0.00191370805259794, 0.002661231206730008, 0.0005008050939068198, -0.0015964130870997906, -0.0009649950079619884, 0.0013201736146584153, 0.0010820127790793777, -2.170713742088992e-05, 0.00200603692792356, -0.00010574584302958101, 0.0002683870552573353, 0.001220114529132843, 0.0003554891736712307, 0.0014837797498330474, 0.003481322666630149, 0.00017933065828401595, -0.0019900850020349026, -0.0018148430390283465, 0.0030340023804455996, 0.0035951982717961073, -0.003613340901210904, 0.0016203941777348518, -0.00029806437669321895, 0.00034845020854845643, 0.0025054735597223043, -0.00047146048746071756, -0.003396078944206238, -0.0031758490949869156, 0.0008480485994368792, 0.003209972521290183, -0.0032997203525155783, 0.00101799878757447, -0.001549580367282033, 0.0023447165731340647, -0.002266115974634886, 0.0006959474994800985, -0.00014271475083660334, 0.003240743186324835, 0.00015969679225236177, 0.0007475551683455706, 0.0022939483169466257, 0.002264874055981636, 0.0029966055881232023, -0.002838643966242671, 0.0009113208507187665, -0.0036486962344497442, 0.0034735503140836954, 0.0036096726544201374, -0.002935882657766342, -0.003374978434294462, -0.00015474864630959928, -0.0036072353832423687, 0.0015747793950140476, -4.166282087680884e-05, 0.0037964924704283476, -0.0033108266070485115, 0.0008996625547297299, 0.002995587419718504, 0.0017380823846906424, -0.0024456006940454245, -0.0015331273898482323, -0.00053647521417588, 0.0031831187661737204, -0.003406423144042492, -2.1103944618516834e-06, -5.8720845117932186e-05, 0.00014187359192874283, 0.00046004753676243126, -0.0006741454126313329, 0.001583643490448594, -0.0017111296765506268, -0.003258488141000271, -0.0007259449339471757, -0.0026739726308733225, -0.002868843963369727, 0.00121184135787189, 0.001956610009074211, 0.00030658283503726125, -0.0010451356647536159, -0.0027279893402010202, 0.0018978725420311093, -0.0013637541560456157, 0.0009592972346581519, 0.0017659080913290381, -0.00015031314978841692, 0.0009885641047731042, -0.003579985350370407, -0.0017115927767008543, 0.001336797489784658, 0.003590821521356702, -0.002451184671372175, 0.0007910680724307895, -0.001533877570182085, 0.003396464977413416, -0.0018056666012853384, 0.0011124812299385667, -0.0012453574454411864, 0.0023695677518844604, -0.0032967450097203255, 0.0029207600746303797, 0.0009560659527778625, 0.0007211582851596177, -0.0015017736004665494, 0.0019687649328261614, 0.0002202743198722601, 0.0027456386014819145, 1.6904059521039017e-05, -0.0034569762647151947, 0.002142507117241621, -0.003738661762326956, -0.0023960040416568518, -0.00020921439863741398, 0.00043197115883231163, 0.0015926973428577185, 0.00012690725270658731, -0.0029804196674376726, -0.00024083511380013078, 0.003536137053743005, -0.0012913279933854938, 0.0010540614603087306, -0.0007456800085492432, -0.0025489116087555885, -0.0013009053654968739, 0.0018086000345647335, 0.0009356114896945655, 0.002553248777985573]"
9,quantum,"[0.000541564601007849, -0.001175550278276205, 0.0014659035950899124, 0.0032143222633749247, 0.0015099976444616914, -0.001533480710349977, 0.0006721318350173533, -0.0015803968999534845, 0.0011894060298800468, -0.0006880478467792273, 0.002838961547240615, -0.0033529100473970175, -0.0034974459558725357, 0.0004964580293744802, 0.000387782376492396, -0.002082629594951868, -0.0010742192389443517, -0.003332659136503935, -0.0010381698375567794, -0.0032334537245333195, 0.0034667353611439466, -0.0014076224761083722, 0.0034459258895367384, -0.002354000462219119, -0.0009427740587852895, 0.0024610019754618406, 0.0035733107943087816, -0.0009945249184966087, 0.002927552442997694, -0.0014444079715758562, 0.0017063593259081244, 0.0004759604053106159, 0.0036920837592333555, -0.0011664747726172209, -0.001100481953471899, 0.0023399218916893005, 0.0012168878456577659, 0.0004865522787440568, -0.003510988550260663, -0.00339042698033154, -0.0032388458494096994, 3.543615821399726e-05, -0.0021612714044749737, -2.3078531739884056e-05, -0.0003630768624134362, 0.0008478480158373713, 0.0022176713682711124, 0.0017154706874862313, 0.0029105874709784985, 0.003495982848107815, 0.0009515040437690914, 0.0006865194882266223, 0.0022652314510196447, -0.0016353547107428312, 0.0020113547798246145, -0.0017990353517234325, 0.001048977137543261, -0.0025825854390859604, 0.0004938611527904868, -0.0004002487112302333, -0.0035340734757483006, 0.0030860151164233685, -0.0030425679869949818, 0.0011160623980686069, 0.0009043246973305941, 0.0020186551846563816, 0.0028093589935451746, -0.0021951121743768454, -0.000729939027223736, -0.003642116906121373, -0.001630923943594098, -0.0007975823828019202, -0.001494801603257656, 0.0012789895990863442, 0.003389363642781973, 0.0014026255812495947, -0.0014147950569167733, 5.477488593896851e-05, 0.0010656091617420316, -0.0032018779311329126, -0.0031858000438660383, 0.0028513388242572546, 0.0007983631803654134, -0.0032389138359576464, 0.0004010582633782178, 0.0021892597433179617, 0.0013460994232445955, 0.0004650329938158393, -0.0030613087583333254, -0.0024449436459690332, -0.0018281185766682029, 0.00044452070142142475, 0.0001890683633973822, 0.0019873713608831167, 2.5982968509197235e-05, -0.000996085931546986, 0.0034178313799202442, 0.0033250448759645224, -0.0015505249612033367, -0.0011707459343597293, 0.0005395273328758776, -0.0035402511712163687, 0.0034457542933523655, -0.0009284865227527916, 0.001942056929692626, -0.0008079787949100137, 0.0009292832692153752, 0.0014837989583611488, 0.0010701530845835805, -0.0005103882285766304, 0.0017847164999693632, 0.0004388847737573087, -0.0007927772239781916, 0.0023815890308469534, 0.0002916102239396423, -0.003054708009585738, -0.0022909564431756735, 0.0028323717415332794, -0.0030149503145366907, -0.0016085364622995257, 0.003161537926644087, -0.002110788132995367, 0.003157406346872449, 0.0016657343367114663, -0.0011834510369226336, 0.00040257335058413446, 0.003361688693985343, -0.0036934809759259224]"
